Provincia,Localidad,Nombre,Dirección,Horario,Ubicacion
Buenos Aires,Laprida,Laprida,Rivadavia 1301 y Mariano J. Pereyra,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Las Flores,Las Flores,San Martín 614,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Las Heras,Las Heras,Belgrano 174,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Lezama,Lezama,San Martín 215,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Lincoln,Lincoln,San Martín 1273,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Lobería,Lobería,Avenida San Martin 378,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Lobos,Lobos,Necochea 244,08.00 a 14.30hs,Ver en mapa
Buenos Aires,Lomas de Zamora,Villa Albertina,Bayona 40 e/ Homero y Falucho,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Longchamps,Longchamps,Carlos Diehl 1765,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Los Hornos,Los Hornos,Calle 143 Nº 1647 e/ 65 y 66,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Los Toldos,Los Toldos,Av. San Martin 337,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Luján,Luján,Almirante Brown 244,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Magdalena,Magdalena,Chacabuco 775,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Maipú,Maipú,Julian Lynch 641,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Mar de Ajó,Mar de Ajo,Jorge Newbery 1487,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Mar del Plata,Mar del Plata,Av. Pedro Luro 4942,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Mar del Plata,Mar del Plata Puerto,Rondeau 670 y Ayolas - Puerto,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Mar del Plata,Mar del Plata Sur,Av. Independencia 3151,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Marcos Paz,Marcos Paz,Libertad 2099,08.00 a 14.00hs,Ver en mapa
Buenos Aires,María Ignacia Vela,Vela,Av. Tandil 575,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Mercedes,Mercedes,Calle 29 N° 817 esquina 34,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Merlo,Merlo,Sarandí 670,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Miramar,Miramar,Calle 17 e/ 32 y 34,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Monte Chingolo,Monte Chingolo,"Eva Perón 4559, entre Chilavert y Chorroarín",08.30 a 14.30hs,Ver en mapa
Buenos Aires,Monte Grande,Monte Grande,Av. Enrique Santa Marina 137,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Monte Hermoso,Monte Hermoso,Bahía Blanca 354,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Moreno,Cuartel V,Darwin Passaponti 5201,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Moreno,Moreno,Boulevard Alcorta 2438,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Morón,Morón,Crisólogo Larralde 514,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Munro,Munro,Gervasio Méndez 3175,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Navarro,Navarro,Calle 26 Nº 330,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Necochea,Necochea,Calle 59 Nº 2940,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Olavarría,Olavarría,Rivadavia 2987,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Palomar,El Palomar,Madariaga 501/505,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Pedro Luro,Pedro Luro,Calle 32 N°254,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Pehuajó,Pehuajó,San Martín 231,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Pergamino,Pergamino,San Nicolás 623,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Pigüé,Pigüé,Ciudad de Rodez 212,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Pila,Pila,Calle 23 N° 9 e/ 2 y 4,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Pilar,Del Viso,Juan Ramón Giménez 1095,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Pilar,Pilar,Estanislao Lopez 788 y 11 de Septiembre,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Pinamar,Pinamar,Jason y Valle Fértil,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Presidente Perón,Presidente Perón,Calle 7 N° 25 Guernica (1862),08.30 a 14.30hs,Ver en mapa
Buenos Aires,Punta Alta,Punta Alta,Roca 526,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Quequén,Quequén,Av. 554 N° 916,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Quilmes,Quilmes,Hipólito Yrigoyen 420,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Quilmes,San Francisco Solano,Calle 842 N° 2447 e/ 895 y 897,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Rafael Calzada,Rafael Calzada,San Martín 2931,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Rafael Castillo,Rafael Castillo,Méndez de Andes 1663,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Ramallo,Ramallo,Av. San Martín 1368,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Ramos Mejía,Ramos Mejía,Av. Rivadavia 13518 y Brown,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Ramos Mejía,Ramos Mejía,Av. Rivadavia 14752 e/ Laprida y Maipú,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Ranchos,Ranchos,Dr. Hernández Castro 2813,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Rauch,Rauch,Alberti 60,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Rojas,Rojas,María Unzué de Alvear 469,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Roque Pérez,Roque Pérez,Avellaneda 1217,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Saladillo,Saladillo,Sarmiento 3047,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Saliqueló,Saliqueló,25 de Mayo 202,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Salto,Salto,9 de Julio Nro 110,08:00 a 14:00hs,Ver en mapa
Buenos Aires,San Andrés de Giles,San Andrés de Giles,9 de Julio 907 y Alsina,08:00 a 14:00hs,Ver en mapa
Buenos Aires,San Antonio de Areco,San Antonio de Areco,Moreno 112,08.00 a 14.00hs,Ver en mapa
Buenos Aires,San Cayetano,San Cayetano,25 de Mayo 237,08.30 a 14.30hs,Ver en mapa
Buenos Aires,San Fernando,San Fernando,Simón de Iriondo 1310,08.30 a 14.30hs,Ver en mapa
Buenos Aires,San Isidro,San Isidro,Av. Centenario 811,08.30 a 14.30hs,Ver en mapa
Buenos Aires,San Justo,San Justo,Arturo Illia 2456,08.30 a 14.30hs,Ver en mapa
Buenos Aires,San Martín,San Martín,Calle 77 Nº 2048,08.30 a 14.30hs,Ver en mapa
Buenos Aires,San Miguel,San Miguel,Sarmiento 1957,08.00 a 14.00hs,Ver en mapa
Buenos Aires,San Miguel del Monte,San Miguel del Monte,Petrachi 640,08.30 a 14.30hs,Ver en mapa
Buenos Aires,San Nicolás,La Emilia,Alberto Gonzalez S/N y Heráclito Ferreyra,08:00 a 14:00hs,Ver en mapa
Buenos Aires,San Nicolás,San Nicolás,Nación 649 y Soler,08:00 a 14:00hs,Ver en mapa
Buenos Aires,San Pedro,San Pedro,25 de Mayo y Balcarce,08:00 a 14:00hs,Ver en mapa
